,title,category
0,   억원 넘는 아파트  대출금지에도  년간 가격     상승 ,Economic
1,경남 광주은행장  전세대출 분할상환 의무화 계획 없어 ,Economic
2,한화큐셀    텍사스서 첫 ESS 단독단지 개발진행,Economic
3,한미약품 포지오티닙 연내   허가신청  항암 신약 결실 터진다 ,Economic
4,팅크웨어  NFT 메타버스 활용 국내 최초 여행게임 서비스 제공,Economic
5,오세훈  부동산실험  찻잔 속 태풍 vs 변혁 이끌 바람,Economic
6, 요소수 대란에 당근마켓도 불났다  요소수 거래 막지 않는 까닭,Economic
7,현대차그룹  애플 구글에 도전장  내년에 자동차용 플랫폼 공개할 것 ,Economic
8, 애플스토어만 있냐  제네시스    뉴욕에  브랜드 복합공간  조성,Economic
9,정승일  국민공감대 있으면 원전 비중 늘어날 것 ,Economic
10,조선일보 서학개미봇  머스크 주식 매도 속보특종  블룸버그보다   분 빨랐다,Economic
11,김용진 국민연금 이사장  K ESG  경제주체 자발적 참여 중요 ,Economic
12, 확 올랐다 확 꺼질라  불안감 커지는 수도권 급등장,Economic
13, 증시이슈  현대차    대 하락세  거래일 연속 하락,Economic
14, 뉴시스 창사   주년 마크 파버  암호화폐  종이화폐 대체할 수 있다 ,Economic
15,SK바이오팜  이그니스 테라퓨틱스 지분       취득 결정,Economic
16,NFT 메타버스 기대감 펄어비스  실적 부진에도 신고가,Economic
17, 마스크 판박이 악몽  요소수 대란에 화물차  대당     구매제한 종합 ,Economic
18, 마이데이터 시대  KB 한번에 다 되는 금융앱 첫단추 꼈다 ,Economic
19,   인플레 악재  또 얻어맞은 금융시장,Economic
20,셀트리온   Q 실적 부진에 목표가 줄하향   분기 정상화 기대 ,Economic
21,코로나 이후 모든 게 부족해졌다 다가오는  생활비용  위기,Economic
22,SKT 한화 에어택시로 김포공항에서 강남까지   분만에 주파 실증 성공,Economic
23,GS건설  땅 안파고 상수도관 고치는 친환경 기술 개발,Economic
24, Q 주춤한 엔씨소프트   NFT 블록체인  승부수,Economic
25,바이든  인프라 법안이 인플레 해법  경제 정상화 계획의 일부 ,Economic
26,삼성전자  고성능 반도체용 차세대  패키징 솔루션  개발,Economic
27,GS건설   상수도관 비굴착 보수공법  친환경 신기술 인증,Economic
28,인천국제공항  지난해 국제여객 첫 아시아  위,Economic
29,삼성 LG전자 CES      혁신상 휩쓸어 TV부터 신가전까지 종합 ,Economic
30,먹는 치료제 직격탄에 시총   위도 위태  추락하는 셀트리온,Economic
31, 주식초고수는 지금  NFT 날개 달고 비상하는 게임주   엔씨소프트 매수 상위,Economic
32,외형 더 키워 삼성 멀리 따돌리겠다  TSMC 자신감 넘친 발언,Economic
33,삼성전자  차세대    D 패키징 솔루션  H Cube  개발,Economic
34,유비벨록스   분기 누적 이익    억   지난해 실적 넘어서 ,Economic
35, fn마켓워치 삼양식품  첫 회사채  최대     억,Economic
36,SK바이오팜   분기 매출      증가해    억원 적자 축소 종합 ,Economic
37,무어의 법칙 한계 다다랐다 반도체 패키징에 힘 쏟는 삼성전자,Economic
38, 기 신도시  문화재 변수 에 발목     부천 대장 도 조사,Economic
39,서울 북촌 일대에 주차장 들어선다,Economic
40,머스크  테슬라 주식 매각했지만  아직 판 게 아니라는데 ,Economic
41,대출 막았지만    억 초과 아파트  년간  억 올랐다 ,Economic
42,두산  친환경 미래기술  CES      혁신상   개 수상,Economic
43,실적 확 뛰었다 삼성생명 성장판 연 전영묵,Economic
44,  억원 규모 영업손실 여파 카카오페이 다시   만원대,Economic
45,바이든  인프라 법안이 인플레 해법  경제 정상화 계획의 일부 ,Economic
46,삼성전자  고성능 반도체용 차세대  패키징 솔루션  개발,Economic
47,GS건설   상수도관 비굴착 보수공법  친환경 신기술 인증,Economic
48,인천국제공항  지난해 국제여객 첫 아시아  위,Economic
49,삼성 LG전자 CES      혁신상 휩쓸어 TV부터 신가전까지 종합 ,Economic
50,먹는 치료제 직격탄에 시총   위도 위태  추락하는 셀트리온,Economic
51, 주식초고수는 지금  NFT 날개 달고 비상하는 게임주   엔씨소프트 매수 상위,Economic
52,외형 더 키워 삼성 멀리 따돌리겠다  TSMC 자신감 넘친 발언,Economic
53,삼성전자  차세대    D 패키징 솔루션  H Cube  개발,Economic
54,유비벨록스   분기 누적 이익    억   지난해 실적 넘어서 ,Economic
55, fn마켓워치 삼양식품  첫 회사채  최대     억,Economic
56,SK바이오팜   분기 매출      증가해    억원 적자 축소 종합 ,Economic
57,무어의 법칙 한계 다다랐다 반도체 패키징에 힘 쏟는 삼성전자,Economic
58,삼성바이오    년만에  바이오 글로벌 CMO 강자 등극  비결에는  삼박자 가 있었다,Economic
59,샐바시온   코빅실 V   델타 변이 바이러스       사멸 확인 ,Economic
60,     년 상용화  하늘 나는 택시 수직으로   m 떠    슝 ,Economic
61,반려동물 하늘길 넓어진다 무게도 동반 숫자도 늘려,Economic
62, 내년 집 값 떨어지지 않을 것  민간           상승 예상,Economic
63, 요소수 수급조정 에 건설 장비 멈출라 건설사 긴장감 고조,Economic
64,삼성전자  차세대    D 패키지 기술  H Cube  개발,Economic
65, 하늘 위 택시  UAM  김포공항에 떴다,Economic
66,삼성바이오로직스   바이오 의약품 생산     차지     조 기업 성장 ,Economic
67,오피스텔      이하까지 바닥 난방 허용      인 중대형 공급 가능해진다,Economic
68,인천국제공항  국제여객 실적  아시아  위     개항 이후 최초,Economic
69,    년 상용화 드론택시  김포공항    날았다,Economic
70,이주열 총재  물가 상승 당분간 지속    인플레 일시적일지 의문 ,Economic
71,바닥난방 설치 완화 중대형 아파텔 공급 활성화,Economic
72,삼성전자  고성능 반도체 패키징 솔루션  H Cube  개발,Economic
73,오피스텔 바닥난방 허용  전용        로 확대,Economic
74, 발코니 있는    인 가구 주거형 오피스텔 나온다,Economic
75,정승일 한전 사장  원전  정쟁 아닌 과학으로 접근해야 ,Economic
76,백화점   부활 날개  폈다 질주하는 신세계,Economic
77,뭉칫돈 몰리는 달러예금  대  한달새   억 달러 ,Economic
78, 요소수 찾아라  팔 걷어붙인 종합상사,Economic
79,오피스텔 전용     까지 바닥난방 허용 중대형 공급 늘듯,Economic
80,삼성전자  최고사양  H Cube  개발 고성능반도체 공급 확대,Economic
81,아파트 버금가는 중대형 오피스텔 늘어난다 국토부  건축기준 개정,Economic
82, 억 주고  자녀 장학금까지  씨티은행     명  퇴직하겠다 ,Economic
83,  억 넘는 서울 아파트   년새 집값    나 상승,Economic
84,삼성전자  차세대    D 패키지 기술  H Cube  개발,Economic
85, 하늘 위 택시  UAM  김포공항에 떴다,Economic
86,삼성바이오로직스   바이오 의약품 생산     차지     조 기업 성장 ,Economic
87,오피스텔      이하까지 바닥 난방 허용      인 중대형 공급 가능해진다,Economic
88,인천국제공항  국제여객 실적  아시아  위     개항 이후 최초,Economic
89,    년 상용화 드론택시  김포공항    날았다,Economic
90,이주열 총재  물가 상승 당분간 지속    인플레 일시적일지 의문 ,Economic
91,바닥난방 설치 완화 중대형 아파텔 공급 활성화,Economic
92,삼성전자  고성능 반도체 패키징 솔루션  H Cube  개발,Economic
93,오피스텔 바닥난방 허용  전용        로 확대,Economic
94, 발코니 있는    인 가구 주거형 오피스텔 나온다,Economic
95,정승일 한전 사장  원전  정쟁 아닌 과학으로 접근해야 ,Economic
96,백화점   부활 날개  폈다 질주하는 신세계,Economic
97,뭉칫돈 몰리는 달러예금  대  한달새   억 달러 ,Economic
98, 요소수 찾아라  팔 걷어붙인 종합상사,Economic
99,오피스텔 전용     까지 바닥난방 허용 중대형 공급 늘듯,Economic
100,삼성전자  최고사양  H Cube  개발 고성능반도체 공급 확대,Economic
101,아파트 버금가는 중대형 오피스텔 늘어난다 국토부  건축기준 개정,Economic
102, 억 주고  자녀 장학금까지  씨티은행     명  퇴직하겠다 ,Economic
103,  억 넘는 서울 아파트   년새 집값    나 상승,Economic
104,삼성전자  차세대    D 패키지 기술  H Cube  개발,Economic
105, 하늘 위 택시  UAM  김포공항에 떴다,Economic
106,삼성바이오로직스   바이오 의약품 생산     차지     조 기업 성장 ,Economic
107,일할 능력이나 의사가 없는 사람 중 그냥 쉬는 사람   만    명 이유는 ,Economic
108, 증시이슈  지오엘리먼트 상장 첫날   따  달성 후  강세 ,Economic
109,주거용 오피스텔  테라팰리스 인덕원  차    월 분양,Economic
110,LIG넥스원   Q 영업익    억원  전년         ,Economic
111,에어부산  부산 괌 노선 운항 재개,Economic
112,삼성 LG  세계 최대 IT 전시회  CES 혁신상  휩쓸었다 종합 ,Economic
113,대출 불가   억 초과 아파트   년 간     더 올랐다,Economic
114, 재수없다  악플에 정용진 부회장 쿨하게  왜  ,Economic
115,제네시스  뉴욕에 첫 브랜드 문화공간  제네시스 하우스  개관,Economic
116,이정재  구찌  정호연  루이비통  명품 모델 된  오겜  배우들,Economic
117,소비자주권  소비자 피해 눈덩이 중고차 개방 연내 결정해야 ,Economic
118,요소수 긴급조치 시행 주유소서 승용차 최대   리터씩,Economic
119,  일부터 유류세     인하 알뜰주유소 직영주유소는 바로 가격인하 될 듯,Economic
120,LGU   KT  디즈니  요금제  출시 디즈니  개시 맞춰 마케팅 경쟁,Economic
121, 오늘 말고 내일 기름 넣으면 더 싸질 수 있어요 ,Economic
122,증권가      물가 고공행진 내년초까지 증시 충격파 지속  종합 ,Economic
123,월가 전문가  인플레이션  내년 봄까지 더 심화될 것 ,Economic
124, 증시이슈  카카오페이  적자 전환에   만원선마저 위태   대 ,Economic
125, 수소 두산  CES서  개 혁신상 휩쓸었다,Economic
126,잠실   평마저 첫   억 돌파   브레이크 없는 고가주택 집값,Economic
127,이재명 홍남기  가상자산 충돌  과세  년 유예  Vs  내년  월 과세 ,Economic
128,한은 총재  높은 소비자물가 상승률 지속될 것 불확실성 커져 ,Economic
129,중저준위 방사능폐기물 저장용량 국내 원전 중 고리원전이 최다,Economic
130, 현장에서 아시아 최대 규모 커피 전시회 올해 키워드는 비대면 디저트 친환경,Economic
131, 테슬라 기다려  리비안 시총    조원   분 미국주식 ,Economic
132,아이폰 닦는 천  만원에 파는 애플  삼성은 공짜 ,Economic
133,부산 괌 노선   개월 만에 재개 지방공항 국제선  기지개 ,Economic
134,내일부터 유류세     인하 휘발유  당    원 경유    원 ,Economic
135, 메타버스에 투자하기 좋은   기업 TOP  ,Economic
136, 황출새      요소수 사태 비싼 수업료   문제는 화물차 운전기사 등이 냈다는 것   ,Economic
137,소니가 부활한다    삼성전자의 미래는  최원석의 디코드 ,Economic
138, 카카오페이  손익개선 느리지만 금융플랫폼 도약 준비   중장기 투자 필요  메리츠증권,Economic
139,뉴욕 한복판에  제네시스 하우스  한국 정서 물씬,Economic
140, 재수없어  악플 받아친 정용진의 한 단어에  빵  터졌다 뭐라했길래,Economic
141,대출금리 오르는데 금리상한형 주담대 판매  고작   건 ,Economic
142, 헝다그룹 파산 막아라   정부  헝다그룹 해체 수순 들어가,Economic
143,버킷스튜디오  초록뱀미디어 전략적투자   빗썸라이브  기대감 솔솔,Economic
144,  일부터 유류세     인하 휘발유 리터당    원 싸진다,Economic
145, 현대차 부품난 최악 지났다  현대차 북미사장 언급,Economic
146,두산건설    일  반월역 두산위브 더센트럴  견본주택 오픈,Economic
147,오늘부터  주유소 에서만 요소수 판다 승용차는   L까지,Economic
148,삼청공원 입구에 주차장 들어선다 북촌로 보행환경도 개선,Economic
149,한전 새 수장  SMR같은 원전기술 투자 늘리겠다 ,Economic
150,  기업  CES 혁신상  싹쓸이  삼성   개 LG   개,Economic
151,  년 내 삼성 잡는다  선언한 샤오미    만원대 LTE폰으로   공략,Economic
152,한은총재  예상보다 높은 물가상승률  당분간 지속될것 ,Economic
153, 억 보상에 너도나도 희망퇴직 씨티    신청 반려  고심,Economic
154,케이뱅크  중저신용대출 금리 인하 최저      ,Economic
155, 이슈앤 직설  요소수 대란 급한 불 껐다  비싼 수업료 냈다 생각 ,Economic
156,상상인   메디포스트  안전성 높은 바이오 기업 ,Economic
157,  일 개막 지스타  코로나 접종완료 음성확인자만 참관 허용,Economic
158,오피스텔 매매 건수 역대 최다  주거용 오피스텔  인기 ,Economic
159,SK바이오팜   분기 영업손    억 적자 축소,Economic
160,두산  연료전지시스템부터 수소드론까지  개 제품 기술  CES       혁신상,Economic
161,  명 몰린 후암동 주택  법원경매서 감정가  배 넘게 팔렸다,Economic
162,  월 들어서도 수출 순항      일 수출액       증가,Economic
163, Q 영업이익 반토막인데 리니지W 흥행에 엔씨 주가 상한가쳤다,Economic
164,  일부터 유류세     인하 휘발유 리터당    원 싸진다,Economic
165, 현대차 부품난 최악 지났다  현대차 북미사장 언급,Economic
166,두산건설    일  반월역 두산위브 더센트럴  견본주택 오픈,Economic
167, 요소수 거래금지  없다는 당근마켓  반복판매 사기 감지해 막겠다 ,Economic
168, 돌아온 할인의 계절  프랜차이즈업계  동절기 마케팅 시동,Economic
169,엔씨   분기 영업이익    억 전년      ,Economic
170,컴투스  메타버스 플랫폼 기대감에 장 초반 강세,Economic
171, 최강시사      억 포상 널리 알려 내부고발 관련 제도 개선에 도움 됐으면 ,Economic
172, 유전자가위 원천기술  툴젠  증권신고서 제출  코스닥 이전상장 박차,Economic
173,  억원 퇴직금 에     여명 몰려 한국씨티  역대급  희망퇴직 현실로,Economic
174,내년 전기료 또 올리나   한전 사장  연료비 부담 커졌다 ,Economic
175, NFT 블록체인 접목 게임 준비 중  엔씨소프트    대 급등,Economic
176, 계의  앱스토어  만들자 현대차그룹이  데이터 호수  만드는 이유,Economic
177,삼성  사내식당  곳 추가 개방 현지 중견 중소기업 선정,Economic
178,케이뱅크  중 저신용자 신용대출 금리 인하,Economic
179,코로나 위중증 환자    명 또  최다  일상회복 중단 위기,Economic
180,킥보드 스타트업 디어  자동주차기술 개발     년내 상용화 ,Economic
181,르노  조에    서 테슬라 폭스바겐 제쳤다   월 전기차 판매  위,Economic
182,인천항 국제여객터미널  썰렁  화물운송으로 버텨,Economic
183, 연말까지 요소수 주유소에서만 구매 한 번에 최대   리터 ,Economic
184,루닛 메드팩토  미국 면역항암학회서 바이오마커 연구 결과 발표,Economic
185,호텔케니  숙박 본질에 집중  부산 기장점  그랜드 오픈,Economic
186,카카오페이  장 초반 주가   대 급락  분기 실적 부진 영향,Economic
187,수젠텍    억 규모 코로나   항원 신속진단키트 공급계약,Economic
188,자주  대나무 화장지  인기  개월 만에  만개 판매,Economic
189,한미약품 항암 신약  글로벌 상용화 속도,Economic
190,디즈니   내일 한국 상륙 구독료 월     원 또는 연간  만 천원,Economic
191,해외 투자 늘리는 삼양식품  회사채시장 첫 노크,Economic
192,게임   실적보다 메타버스 엔씨 펄어비스 대반전,Economic
193, fn마켓워치 우본      억 물류 인프라 운용사에 키움 KDB,Economic
194, 모빌리티   강  타다  핀테크 장착하고 컴백,Economic
195,르노 조에    월 독일 전기차 신규등록  위 올라,Economic
196, 국민주  삼성전자   만전자 또 깨졌다  최고 실적에도 처참 ,Economic
197,현대엔지니어링   힐스테이트 초월역  이달 분양,Economic
198,부장 차장대신  OO님  직장인      직급간소화 필요 ,Economic
199,르노 조에  지난달 독일서 전기차 신규등록  위 테슬라 제쳐,Economic
200, SK하이닉스  내년 주가   만원 간다 ,Economic
201,르노  조에    서 테슬라 폭스바겐 제쳤다   월 전기차 판매  위,Economic
202,인천항 국제여객터미널  썰렁  화물운송으로 버텨,Economic
203, 연말까지 요소수 주유소에서만 구매 한 번에 최대   리터 ,Economic
204,루닛 메드팩토  미국 면역항암학회서 바이오마커 연구 결과 발표,Economic
205,호텔케니  숙박 본질에 집중  부산 기장점  그랜드 오픈,Economic
206,대한전선  무상감자 유상증자 소식에    대 급락,Economic
207,케이뱅크  중저신용자 대출 금리 최대      포인트 인하,Economic
208,인플레 쇼크  주식 코인 집값 거품 붕괴 경고     긴급정상회담   문샷 싱킹  나올까   한상춘의 지금 세계는 ,Economic
209,자율주행 로봇이 전기차 충전해주러 다닌다고  만도  KETI와 MOU,Economic
210,수지가 입기만 하면  완판  뽀글이 이어 패딩 불티나게 팔린다,Economic
211,한은 총재   예상보다 높은 소비자물가 상승률 당분간 지속될 것 ,Economic
212,자녀에게 아파트 증여할 때 어떤 게 유리할까  집코노미TV ,Economic
213, 대형마트 PB상품  년새   개 중  개 가격 인상 ,Economic
214,삼성생명  분기 영업익     억원 전년비     ,Economic
215,엔씨소프트   분기 영업익    억원 전년비       ,Economic
216,코스맥스   서 업계 최초 월     만개 생산 ODM  위 굳히기,Economic
217,두산 친환경 미래기술   CES      혁신상   개 수상,Economic
218, 원하는 일자리 없어 쉬는 사람   만명 육박  비경제활동 인구     차지,Economic
219, 사천 엘크루 센텀포레  차별화된 특화 커뮤니티로 수요자 관심 이어져,Economic
220,한전 사장  전기요금 인상 요인 있다면 정부와 협의 ,Economic
221,실적부진 더블유게임즈  배당  잭팟 되나,Economic
222,LG전자 차량용 AR 소프트웨어 사업 본격화  수요 선제 대응 ,Economic
223,  월     일 수출      유가급등에 수입은     늘어,Economic
224,포스코도 청년 일자리 창출 재계   만 일자리 만든다,Economic
225, 르포 맨해튼 한복판서 만난  작은 서울  제네시스 하우스 가보니,Economic
226, 중장년세대  은퇴 후        캥거루족  자녀 돌봄 ,Economic
227,기저효과 없이도 늘었다    월     일 수출       증가,Economic
228,자주  대나무 화장지  잘 나가네   개월 만에  만개 팔렸다 ,Economic
229,내일부터 유류세     인하 휘발유 리터당    원 ,Economic
230, 명 중  명 요소수 무료 나눔 당근마켓  불법엔 강경 대응 ,Economic
231,두산  CES      혁신상   개 수상 수소 드론 로봇 등 미래 신기술,Economic
232,테슬라 얼마까지 오를까 반도체 대란  노프로블럼  시총  조달러 돌파,Economic
233,한화솔루션    텍사스 ESS 단독 단지 개발 맡는다,Economic
234,한전 사장  적정원가 보상해야  내년 전기요금 인상 필요성 제기,Economic
235,뉴욕 중심지에  제네시스 하우스  문 연다,Economic
236,상장 후 첫 실적 내놓은 카카오금융 결과는  상반 ,Economic
237,항공업계  위드 코로나 맞춰 국제선  날갯짓 ,Economic
238,     명 확진 위중증 환자 하루 만에 또 최대치,Economic
239,이마트    주년 행사 메타버스로 진행    미니미  바글바글,Economic
240,삼성전자  사내식당  곳 추가 개방,Economic
241, 서울시 부동산 장관  김헌동의 반값 아파트 구상  전문가들은  효과 제한적 ,Economic
242, 월성원전 배임방조 혐의  회계사  백운규 등과 함께 법정 선다,Economic
243,요소수 급한 불 껐지만  차이나 리스크 는 잠복 특정국 의존품목 대책 시급,Economic
244, 최대  억원  파격 퇴직금에 한국씨티은행 희망퇴직 신청 쇄도,Economic
245,신반포 차 재건축  이번에는 성공할까   오세훈표  신속통합기획  추진,Economic
246,대선후보 공약 수혜주는   이재명  내수 친환경 vs 윤석열 수출 원전 ,Economic
247,천안  두정 비바루체  분양 오픈    전 세대 투룸 설계로 선호도 높아,Economic
248, 대기업 중고차시장 진출 허용  올해 넘겨선 안돼 ,Economic
249,정부  요소수 수급 안정 총력전  공업용 요소수 관세율   로 낮춘다,Economic
250,항체 수치 매주  뚝  부스터샷 효과 절감합니다 ,Economic
251,포스코와 국민연금의   년 동거 끝내나,Economic
252, 계속되는 영역 확장  리플  가상자산 상승랠리 동참할까,Economic
253,고강도 아파트 규제에 오피스텔 거래량  급증  또 풍선효과 ,Economic
254,주식투자법  가지  낚시   작살   그물  알아두세요,Economic
255,   경기 둔화는  코로나 제로  정책에 발목 잡혀 역풍 맞은 것 ,Economic
256, 비즈톡톡   제이릴라 빵집  낸 정용진  다음 사업은 골프복 ,Economic
257,정승일 한전 사장  원전 비중  국민 공감대 생기면 확대 가능 ,Economic
258, 당국  카뱅만 봐주나   금융권 볼멘소리,Economic
259,데브시스터즈   Q 영업익   억 전기      ,Economic
260,GS    겨울 인기상품  딸기 샌드위치  예약 판매,Economic
261, 성능 좋고 안전    세계가 알아본 SK이노베이션 NCM  배터리,Economic
262,메타버스 바람 타고 급성장한  엔피  이익률    대 탄탄,Economic
263,FATF 가이드라인 최종안 발표를 지켜보며  한경 코알라 ,Economic
